semana,tipo,sesiones,paginas_leidas
2024-11-11,novela,0,0
2024-11-18,comic,0,0
2024-11-18,cuentos,0,0
2024-11-18,manga,0,0
2024-11-18,novela,0,0
2024-11-25,comic,0,0
2024-11-25,cuentos,0,0
2024-11-25,manga,0,0
2024-11-25,novela,0,0
2024-12-02,comic,0,0
2024-12-02,cuentos,0,0
2024-12-02,manga,0,0
2024-12-02,novela,0,0
2024-12-09,comic,0,0
2024-12-09,cuentos,0,0
2024-12-09,manga,0,0
2024-12-09,novela,0,0
2024-12-16,comic,0,0
2024-12-16,cuentos,0,0
2024-12-16,manga,0,0
2024-12-16,novela,0,0
2024-12-23,comic,0,0
2024-12-23,cuentos,0,0
2024-12-23,manga,0,0
2024-12-23,novela,0,0
2024-12-30,comic,0,0
2024-12-30,cuentos,0,0
2024-12-30,manga,0,0
2024-12-30,novela,1,94
2025-01-06,comic,0,0
2025-01-06,cuentos,0,0
2025-01-06,manga,0,0
2025-01-06,novela,0,0
2025-01-13,comic,0,0
2025-01-13,cuentos,0,0
2025-01-13,manga,0,0
2025-01-13,novela,2,217
2025-01-20,comic,0,0
2025-01-20,cuentos,0,0
2025-01-20,manga,0,0
2025-01-20,novela,2,152
2025-01-27,comic,0,0
2025-01-27,cuentos,0,0
2025-01-27,manga,1,25
2025-01-27,novela,1,99
2025-02-03,comic,0,0
2025-02-03,cuentos,0,0
2025-02-03,manga,0,0
2025-02-03,novela,0,0
2025-02-10,comic,1,15
2025-02-10,cuentos,0,0
2025-02-10,manga,0,0
2025-02-10,novela,1,132
2025-02-17,comic,0,0
2025-02-17,cuentos,0,0
2025-02-17,manga,0,0
2025-02-17,novela,0,0
2025-02-24,comic,0,0
2025-02-24,cuentos,0,0
2025-02-24,manga,0,0
2025-02-24,novela,0,0
2025-03-03,comic,1,22
2025-03-03,cuentos,0,0
2025-03-03,manga,0,0
2025-03-03,novela,0,0
2025-03-10,comic,1,40
2025-03-10,cuentos,0,0
2025-03-10,manga,0,0
2025-03-10,novela,0,0
2025-03-17,comic,1,36
2025-03-17,cuentos,0,0
2025-03-17,manga,0,0
2025-03-17,novela,0,0
2025-03-24,comic,0,0
2025-03-24,cuentos,0,0
2025-03-24,manga,0,0
2025-03-24,novela,0,0
