anio,mes,mes_nombre,comic,cuentos,manga,novela
2024,1,enero,0,0,0,1
2024,2,febrero,0,0,0,2
2024,7,julio,0,0,0,3
2024,8,agosto,0,0,0,1
2024,9,septiembre,0,0,0,3
2024,10,octubre,0,0,0,3
2024,11,noviembre,0,0,0,2
2024,12,diciembre,0,0,0,2
2025,1,enero,3,3,1,2
2025,2,febrero,1,0,0,1
2025,7,julio,0,0,0,4
2025,8,agosto,0,0,0,5
2025,9,septiembre,0,0,1,2
2025,10,octubre,1,1,1,1
2025,11,noviembre,1,1,1,0
2025,12,diciembre,2,0,0,7
